"AGE","LOCATION","MEASURE","DEFINITION","METHODO","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue","OBS_STATUS","AGE_label"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1989",0.289,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1990",0.274,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1991",0.269,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1990",0.226,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1991",0.22,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2009",0.241,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1993",0.214,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1994",0.217,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1995",0.21,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1996",0.222,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1997",0.22,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1998",0.231,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1999",0.241,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2000",0.24,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2001",0.233,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2002",0.217,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2005",0.273,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2006",0.269,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1992",0.228,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2007",0.281,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2008",0.28,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2009",0.284,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2010",0.289,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2011",0.277,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.286,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2013",0.279,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2014",0.285,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1986",0.291,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1987",0.274,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1988",0.272,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1989",0.286,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1990",0.272,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1991",0.265,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1992",0.254,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1993",0.259,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1994",0.248,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1995",0.261,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1996",0.261,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1997",0.257,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1986",0.218,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1987",0.217,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1988",0.231,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1989",0.236,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2002",0.267,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2003",0.26,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2004",0.265,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2005",0.271,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2006",0.265,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2007",0.278,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.278,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.28,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.29,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.274,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2004",0.194,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2005",0.189,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2006",0.184,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2003",0.223,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2004",0.244,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2005",0.233,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2010",0.198,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2011",0.191,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.196,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2013",0.187,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2014",0.186,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1992",0.192,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1996",0.209,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2002",0.177,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2004",0.195,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2005",0.191,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2006",0.184,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2007",0.19,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.191,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.198,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.199,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.192,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2012",0.197,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2013",0.188,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2011",0.215,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.214,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1998",0.258,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1999",0.255,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2000",0.257,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2001",0.263,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2000",0.207,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2005",0.206,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2006",0.217,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2007",0.222,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.214,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.204,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.219,NA,"Retirement age population: above 65"
"OLD","DNK","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.217,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1987",0.216,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1988",0.229,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1989",0.235,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1990",0.225,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1991",0.221,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1992",0.226,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1993",0.212,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1994",0.214,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1995",0.208,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1996",0.219,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1997",0.218,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1998",0.229,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1999",0.242,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2000",0.239,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2001",0.234,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2002",0.216,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2003",0.222,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2004",0.241,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2005",0.231,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2006",0.223,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2007",0.25,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.305,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2013",0.282,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2014",0.284,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2004",0.27,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2005",0.273,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2006",0.266,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2007",0.286,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.289,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.279,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.286,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.298,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2012",0.289,NA,"Retirement age population: above 65"
"OLD","IRL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2013",0.282,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2004",0.31,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2005",0.313,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2006",0.312,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2007",0.299,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2008",0.312,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2009",0.291,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2010",0.298,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2011",0.297,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.297,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2013",0.297,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2014",0.3,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1991",0.294,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1995",0.314,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2000",0.327,NA,"Retirement age population: above 65"
"OLD","ITA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2004",0.303,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2006",0.225,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2007",0.251,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.26,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.243,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.237,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.245,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2012",0.253,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.298,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2013",0.297,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2014",0.289,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1996",0.262,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2000",0.284,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2005",0.283,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.291,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.29,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.297,NA,"Retirement age population: above 65"
"OLD","FRA","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.305,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2008",0.268,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2011",0.271,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.269,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2013",0.26,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2014",0.27,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1990",0.252,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1995",0.254,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2000",0.262,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2004",0.27,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.283,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.282,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.277,NA,"Retirement age population: above 65"
"OLD","DEU","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.275,NA,"Retirement age population: above 65"
"OLD","GRC","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2004",0.329,NA,"Retirement age population: above 65"
"OLD","GRC","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2005",0.309,NA,"Retirement age population: above 65"
"OLD","GRC","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2006",0.303,NA,"Retirement age population: above 65"
"OLD","GRC","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2007",0.294,NA,"Retirement age population: above 65"
"OLD","GRC","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2008",0.281,NA,"Retirement age population: above 65"
"OLD","GRC","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2009",0.281,NA,"Retirement age population: above 65"
"OLD","GRC","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2010",0.297,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2007",0.19,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2008",0.191,NA,"Retirement age population: above 65"
"OLD","CZE","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2009",0.197,NA,"Retirement age population: above 65"
"OLD","LUX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2007",0.226,NA,"Retirement age population: above 65"
"OLD","LUX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.229,NA,"Retirement age population: above 65"
"OLD","LUX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.232,NA,"Retirement age population: above 65"
"OLD","LUX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.233,NA,"Retirement age population: above 65"
"OLD","LUX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.256,NA,"Retirement age population: above 65"
"OLD","LUX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2012",0.275,NA,"Retirement age population: above 65"
"OLD","LUX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2013",0.252,NA,"Retirement age population: above 65"
"OLD","MEX","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.512,NA,"Retirement age population: above 65"
"OLD","MEX","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2014",0.48,NA,"Retirement age population: above 65"
"OLD","MEX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","1994",0.554,NA,"Retirement age population: above 65"
"OLD","MEX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2000",0.558,NA,"Retirement age population: above 65"
"OLD","MEX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2004",0.56,NA,"Retirement age population: above 65"
"OLD","MEX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.522,NA,"Retirement age population: above 65"
"OLD","MEX","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.51,NA,"Retirement age population: above 65"
